LocationCluster,PropertyCluster,FinalCluster,y_train
0,1,1,134900
0,0,0,230500
0,1,1,110000
0,3,3,233230
0,1,1,157000
0,0,0,142600
1,0,4,154000
0,3,3,179665
0,2,2,91000
0,3,3,197900
0,3,3,205000
0,2,2,161000
0,2,2,149900
1,0,4,207000
0,1,1,143000
1,2,6,281000
1,1,5,372500
0,3,3,235000
0,3,3,214500
1,2,6,260000
0,1,1,149700
0,1,1,131000
0,2,2,144000
0,1,1,215000
0,1,1,176000
0,3,3,144000
1,3,7,155000
1,2,6,290000
0,3,3,230000
0,0,0,290000
0,0,0,328900
0,2,2,142000
0,3,3,231500
0,1,1,162000
0,2,2,133000
1,1,5,386250
0,1,1,110500
0,0,0,339750
0,1,1,87000
0,2,2,158500
0,3,3,170000
0,2,2,55000
0,2,2,138887
0,3,3,170000
0,0,0,240000
0,3,3,147400
0,0,0,289000
0,0,0,135000
0,1,1,140000
1,2,6,333168
0,2,2,146500
1,2,6,354000
0,1,1,143000
1,0,4,265900
0,1,1,146000
0,3,3,165000
0,2,2,82000
0,0,0,213250
0,2,2,79000
0,2,2,143000
0,3,3,130500
0,3,3,239900
0,2,2,177500
0,0,0,262280
0,0,0,227000
0,1,1,159500
0,0,0,217000
1,2,6,410000
0,1,1,148000
0,1,1,178000
0,1,1,162900
0,0,0,187500
0,3,3,160000
0,3,3,212000
0,2,2,139000
0,1,1,108000
0,2,2,84000
0,3,3,172000
0,2,2,104900
0,2,2,114504
0,2,2,106000
0,3,3,179900
0,1,1,102000
0,0,0,190000
1,2,6,340000
0,0,0,180000
0,3,3,206000
0,3,3,131500
0,2,2,150000
0,3,3,186000
0,2,2,116900
0,0,0,299800
0,3,3,188000
0,1,1,143000
0,2,2,138500
1,0,4,260000
0,2,2,119000
0,1,1,167500
0,2,2,85500
1,0,4,209500
0,3,3,206900
0,1,1,112000
0,3,3,193000
0,1,1,197500
0,3,3,139000
0,2,2,119750
0,3,3,198500
0,1,1,135000
0,3,3,223500
0,0,0,307000
0,2,2,132000
0,1,1,168000
0,0,0,287000
0,3,3,197000
0,1,1,134450
0,2,2,133700
1,1,5,306000
0,3,3,180000
0,0,0,232600
0,0,0,175900
0,3,3,178000
0,0,0,227000
0,3,3,165150
0,1,1,223500
0,3,3,207500
1,1,5,256300
1,1,5,377426
1,0,4,224500
0,0,0,249700
0,2,2,100000
1,2,6,437154
0,0,0,180500
0,2,2,121000
0,1,1,156000
1,3,7,180000
0,2,2,107000
0,0,0,377500
0,3,3,185000
0,3,3,175000
0,3,3,195000
1,0,4,319900
0,0,0,190000
0,0,0,184750
0,2,2,109500
0,1,1,129000
0,1,1,148000
0,3,3,158900
0,2,2,39300
0,3,3,151000
0,0,0,178740
0,0,0,124000
0,1,1,230000
0,3,3,145000
0,2,2,125500
0,1,1,158000
0,1,1,163500
0,0,0,129000
0,3,3,194500
0,2,2,127000
0,3,3,228500
1,0,4,280000
0,2,2,234000
0,3,3,175000
0,0,0,193000
0,2,2,120000
1,1,5,395192
0,3,3,136900
0,1,1,144000
1,0,4,175500
0,2,2,110000
0,0,0,255900
0,1,1,110000
0,0,0,229000
0,1,1,124900
0,3,3,164000
0,0,0,257000
1,1,5,239000
0,0,0,200000
0,0,0,171000
1,2,6,285000
0,3,3,193500
0,3,3,144152
0,3,3,250000
1,2,6,248000
1,0,4,302000
1,1,5,326000
0,2,2,127500
0,3,3,180000
0,2,2,89500
0,0,0,190000
1,0,4,189000
0,3,3,192000
0,2,2,94750
0,0,0,320000
0,2,2,128000
0,2,2,135000
0,3,3,118964
0,2,2,81000
0,2,2,88000
1,1,5,325000
0,1,1,139950
0,0,0,147000
0,0,0,205000
0,3,3,127000
0,3,3,174000
0,0,0,191000
0,2,2,89500
0,2,2,113000
0,2,2,179500
0,0,0,305900
0,1,1,155000
0,2,2,93000
0,0,0,257500
1,3,7,277000
1,0,4,328000
0,1,1,165000
0,1,1,129500
0,3,3,204750
0,3,3,191000
0,1,1,165500
0,3,3,173000
0,2,2,119500
0,0,0,127500
0,1,1,159500
0,1,1,153900
0,2,2,129900
0,3,3,152000
0,0,0,185000
0,2,2,127000
0,3,3,168500
1,0,4,269790
0,0,0,245000
1,3,7,256000
0,2,2,135000
0,3,3,87000
0,0,0,239799
0,3,3,176485
0,1,1,116000
0,0,0,370878
0,3,3,176000
0,3,3,152000
0,1,1,149900
0,3,3,168000
1,3,7,260000
0,3,3,214000
1,3,7,137500
0,2,2,169500
0,2,2,118500
0,3,3,151400
0,3,3,173900
0,0,0,268000
1,0,4,202500
0,3,3,185000
1,0,4,214900
1,1,5,318000
0,1,1,97000
0,3,3,130000
0,2,2,104900
0,2,2,123000
0,0,0,320000
0,2,2,127000
0,2,2,76500
0,1,1,133000
0,2,2,118000
0,2,2,120000
0,3,3,179540
0,3,3,230000
0,1,1,140000
1,1,5,426000
0,2,2,117000
0,3,3,235000
0,2,2,108000
0,0,0,160000
0,1,1,144000
0,3,3,263435
0,3,3,135000
0,0,0,262500
0,0,0,125000
0,3,3,226700
0,2,2,135000
0,3,3,190000
0,2,2,122000
1,0,4,187500
0,0,0,272000
0,3,3,172500
0,1,1,125500
0,2,2,123500
0,0,0,193879
0,2,2,87000
0,3,3,184100
0,0,0,182900
0,2,2,84500
0,3,3,200000
0,3,3,183000
0,0,0,193500
0,1,1,131000
0,1,1,134000
0,1,1,165500
0,2,2,125000
0,2,2,78000
0,0,0,179600
0,1,1,130000
0,0,0,252000
0,3,3,231500
0,2,2,80000
0,2,2,125000
0,2,2,219500
0,3,3,178000
0,3,3,166000
0,3,3,176000
0,3,3,274725
0,0,0,167900
0,3,3,160000
0,3,3,136000
1,1,5,555000
0,1,1,128000
1,2,6,625000
1,2,6,290000
0,1,1,82000
0,2,2,125000
0,3,3,186500
0,2,2,111000
0,3,3,252678
0,1,1,110000
0,2,2,141000
0,2,2,116000
0,1,1,167900
0,3,3,236000
0,2,2,103600
0,3,3,163900
0,2,2,113000
0,0,0,250580
1,0,4,220000
0,2,2,126000
0,2,2,139500
1,2,6,280000
0,3,3,159895
0,3,3,208300
0,2,2,124000
0,3,3,147000
0,2,2,117000
0,0,0,157500
0,2,2,81000
0,3,3,208500
0,1,1,156000
1,3,7,185000
1,0,4,167500
0,1,1,132500
0,1,1,169900
0,3,3,196500
0,2,2,93000
0,2,2,177000
0,1,1,167500
0,3,3,174000
1,3,7,239000
0,2,2,110000
0,2,2,84500
0,0,0,242000
1,0,4,175000
0,3,3,174000
0,1,1,129000
0,1,1,109900
0,1,1,90000
0,2,2,200100
0,0,0,303477
0,1,1,149900
0,2,2,139000
0,3,3,228000
0,0,0,235000
1,0,4,225000
1,2,6,582933
0,3,3,244000
0,2,2,157000
0,1,1,110000
1,0,4,324000
1,0,4,271000
0,1,1,160000
0,2,2,120000
0,2,2,37900
0,3,3,237000
0,3,3,190000
0,2,2,34900
1,1,5,315000
0,0,0,202500
0,0,0,215000
0,2,2,152000
0,2,2,207500
0,3,3,158000
0,3,3,130000
0,0,0,244000
0,2,2,79000
0,2,2,55000
1,0,4,228000
1,1,5,325624
0,3,3,191000
0,1,1,163000
0,3,3,211000
0,0,0,392500
0,1,1,143000
0,2,2,88000
0,2,2,133000
0,1,1,144900
0,2,2,91500
0,1,1,137000
0,2,2,96500
0,2,2,149000
0,1,1,174900
0,3,3,216500
0,3,3,222500
0,2,2,161750
1,0,4,220000
0,1,1,150750
0,2,2,128000
0,3,3,179900
1,2,6,302000
0,0,0,475000
1,3,7,170000
1,2,6,335000
0,2,2,115000
0,2,2,109000
0,0,0,316600
1,1,5,270000
0,1,1,142000
0,0,0,282922
0,3,3,164000
1,1,5,250000
0,1,1,122900
0,2,2,154000
0,3,3,155000
0,2,2,60000
0,2,2,80000
0,2,2,100000
0,1,1,132500
0,1,1,159000
0,3,3,124500
0,1,1,131500
1,0,4,180000
0,1,1,76000
0,2,2,108000
0,1,1,157000
0,3,3,225000
0,0,0,188000
0,1,1,73000
0,2,2,91000
0,3,3,173733
0,2,2,94500
0,3,3,210000
0,1,1,129000
0,3,3,148000
1,0,4,211000
0,1,1,159000
0,0,0,197900
0,2,2,118000
0,2,2,82000
1,0,4,170000
0,2,2,136500
1,1,5,319000
0,2,2,101000
0,1,1,147000
1,2,6,290000
0,2,2,119500
0,1,1,116000
0,1,1,92900
0,2,2,105000
1,1,5,415298
0,3,3,215000
0,1,1,141500
0,2,2,132000
0,2,2,108500
0,1,1,145000
0,1,1,163000
0,2,2,140000
0,1,1,110000
0,2,2,132500
0,0,0,295493
0,1,1,199900
0,1,1,129500
0,1,1,224000
1,0,4,392000
0,2,2,179000
0,1,1,184000
0,1,1,176500
0,1,1,98000
0,3,3,169000
0,2,2,100000
0,3,3,148500
0,2,2,127500
0,1,1,120500
0,0,0,110000
0,2,2,142000
0,2,2,61000
0,0,0,222000
0,2,2,107400
0,3,3,193000
0,3,3,197500
0,2,2,113000
1,1,5,385000
0,3,3,148500
0,2,2,147500
0,3,3,183200
0,2,2,259500
0,0,0,239000
0,1,1,141000
0,2,2,140000
0,2,2,145900
0,0,0,221000
0,2,2,112000
0,2,2,123600
1,3,7,240000
0,2,2,117000
1,2,6,281213
1,2,6,275500
0,2,2,130000
1,2,6,345000
0,1,1,123000
0,0,0,179200
0,1,1,141000
0,2,2,144000
0,3,3,127000
1,0,4,194700
0,0,0,215000
0,0,0,320000
0,3,3,140000
0,2,2,125000
0,0,0,220000
1,3,7,228950
0,1,1,165500
0,2,2,80000
1,1,5,402861
0,3,3,227000
0,0,0,216837
0,3,3,107500
0,1,1,100000
0,0,0,194000
0,2,2,150000
0,0,0,230000
0,3,3,173000
0,0,0,287090
1,0,4,202900
0,2,2,79900
1,1,5,440000
0,2,2,107000
0,2,2,143500
0,3,3,171900
0,2,2,100000
0,3,3,179900
0,3,3,133900
0,0,0,240000
0,2,2,89000
0,2,2,136500
1,3,7,235000
0,1,1,138000
0,2,2,142125
1,3,7,187500
0,1,1,181900
0,1,1,140000
0,2,2,145000
0,0,0,175000
0,0,0,234000
0,1,1,109900
0,1,1,129900
0,2,2,139400
1,2,6,290000
0,3,3,160200
0,2,2,139000
0,1,1,132000
0,1,1,166000
0,3,3,163990
0,2,2,145500
0,3,3,200000
0,1,1,162000
0,1,1,120500
0,2,2,88000
0,1,1,79900
0,3,3,225000
1,1,5,248900
0,0,0,239686
1,3,7,190000
0,1,1,168000
0,1,1,132250
0,2,2,114500
1,2,6,250000
0,0,0,136905
0,0,0,381000
0,1,1,130000
0,3,3,189000
0,1,1,125000
0,0,0,172500
0,0,0,232000
0,2,2,138800
0,2,2,100000
0,3,3,130000
0,0,0,295000
0,3,3,164000
1,0,4,375000
0,2,2,115000
0,2,2,139000
0,3,3,177000
0,1,1,139000
0,0,0,222000
0,1,1,167000
1,1,5,318000
1,0,4,212000
1,0,4,173000
0,2,2,135000
0,3,3,241000
1,0,4,202665
1,2,6,342643
0,2,2,139000
1,0,4,221000
1,2,6,309000
0,3,3,180000
0,0,0,189000
0,3,3,179200
0,2,2,177000
0,3,3,201000
0,1,1,111250
0,3,3,179400
0,3,3,90000
0,0,0,241500
0,0,0,259000
0,2,2,128000
0,2,2,86000
0,2,2,125000
0,0,0,272000
0,1,1,158000
0,1,1,160000
1,0,4,207500
0,1,1,135960
0,2,2,137450
0,1,1,90000
0,2,2,87000
0,3,3,176000
0,1,1,178400
0,1,1,143750
0,0,0,315000
0,1,1,144000
0,3,3,187000
0,1,1,142000
0,2,2,80500
0,1,1,152000
0,3,3,177000
0,0,0,267000
1,1,5,430000
0,3,3,190000
0,3,3,143000
0,1,1,153500
1,2,6,265000
0,1,1,135000
0,0,0,208900
1,2,6,269500
0,1,1,149000
0,2,2,91500
0,1,1,210000
0,2,2,97500
0,3,3,165000
0,0,0,213490
0,0,0,137900
0,3,3,155000
1,1,5,466500
0,0,0,244600
0,2,2,110000
0,2,2,112000
0,1,1,134800
0,2,2,119000
0,0,0,223000
0,0,0,192500
0,1,1,153000
0,2,2,98000
0,3,3,139600
0,3,3,187000
0,3,3,178000
0,3,3,160000
0,3,3,148800
0,1,1,177000
0,0,0,264561
0,2,2,128900
0,0,0,235128
0,0,0,229456
0,0,0,256000
1,0,4,200000
1,3,7,162500
0,1,1,124000
0,1,1,95000
0,1,1,93000
0,3,3,195000
1,2,6,350000
0,3,3,145000
0,3,3,190000
0,3,3,200000
0,2,2,124500
0,2,2,102000
1,0,4,171750
0,0,0,198900
0,2,2,130000
0,2,2,58500
0,2,2,80000
1,1,5,385000
1,1,5,372402
1,0,4,258000
0,1,1,122500
0,2,2,141000
0,0,0,237500
0,2,2,112000
0,3,3,129900
0,2,2,119200
0,1,1,147000
1,0,4,213500
1,0,4,204000
0,2,2,158000
0,2,2,106500
0,2,2,83000
0,1,1,157000
0,3,3,117000
0,3,3,168500
0,2,2,140200
1,3,7,294000
0,1,1,151000
0,1,1,122000
0,1,1,148000
1,0,4,274000
0,2,2,157900
0,0,0,250000
0,3,3,140000
0,0,0,236500
0,0,0,160000
0,2,2,72500
0,1,1,163000
0,2,2,105000
0,2,2,108000
0,2,2,127500
0,1,1,105000
0,1,1,167000
0,2,2,188700
0,3,3,173000
0,2,2,174500
0,3,3,184000
0,0,0,359100
0,0,0,204000
0,3,3,162000
1,2,6,336000
0,0,0,235000
0,2,2,118500
1,0,4,192000
0,3,3,235000
0,3,3,176500
1,0,4,245500
0,2,2,136000
0,0,0,200000
0,2,2,112000
0,1,1,128000
0,2,2,137000
0,0,0,250000
0,3,3,274300
0,2,2,120500
1,0,4,240000
1,0,4,278000
0,0,0,170000
0,3,3,167240
0,3,3,226000
1,3,7,181500
0,0,0,383970
0,2,2,138500
0,1,1,163000
0,2,2,119900
0,2,2,139000
0,0,0,275000
0,2,2,118000
0,2,2,119000
1,1,5,301500
0,1,1,137500
0,3,3,186500
0,2,2,99900
0,1,1,155000
0,0,0,270000
0,3,3,155000
0,2,2,109900
0,1,1,150500
0,2,2,99500
0,2,2,153000
0,0,0,82500
0,1,1,129500
0,3,3,274970
0,3,3,165400
0,0,0,215000
0,3,3,171000
0,1,1,143250
0,2,2,165000
0,2,2,141000
0,2,2,159434
0,1,1,164500
1,1,5,280000
0,2,2,122000
0,1,1,120000
1,2,6,315750
0,1,1,220000
1,1,5,315000
0,2,2,158000
1,0,4,260400
0,1,1,171000
0,2,2,132500
0,3,3,185000
0,1,1,176000
0,3,3,185000
0,3,3,181000
0,0,0,179000
0,1,1,132500
0,3,3,172500
0,2,2,97000
0,2,2,143900
0,2,2,106500
0,3,3,194500
0,2,2,109500
0,3,3,169500
0,3,3,196500
0,1,1,155000
0,0,0,248328
0,2,2,105000
0,0,0,345000
0,0,0,261500
0,2,2,116500
0,1,1,120500
0,0,0,285000
0,2,2,83000
0,2,2,118000
0,2,2,115000
0,1,1,140000
0,1,1,154000
1,0,4,185850
0,3,3,222000
0,1,1,135000
0,3,3,140000
0,0,0,180000
0,3,3,200141
0,3,3,160000
1,0,4,187500
0,2,2,148000
1,1,5,394432
0,2,2,122000
0,2,2,126000
0,3,3,215000
0,1,1,138000
0,1,1,129000
0,2,2,83500
0,1,1,155000
0,1,1,230000
0,2,2,106250
0,3,3,219500
0,2,2,157000
1,2,6,250000
0,1,1,154000
0,3,3,172785
0,3,3,179000
0,2,2,135000
1,2,6,337000
0,0,0,210000
0,1,1,146800
0,1,1,170000
0,1,1,148000
0,0,0,214000
0,2,2,128500
0,1,1,142500
0,0,0,203000
0,3,3,137000
0,1,1,175500
0,3,3,266500
0,0,0,224900
0,1,1,148000
0,2,2,121600
0,3,3,171500
1,2,6,412500
0,1,1,103000
0,3,3,164990
1,2,6,361919
0,1,1,140000
0,2,2,128000
0,3,3,194000
0,1,1,112500
0,3,3,106000
0,0,0,180500
1,0,4,277500
0,3,3,162000
0,1,1,161000
0,1,1,149300
0,0,0,235000
0,1,1,98600
0,3,3,156932
0,3,3,142953
1,0,4,268000
0,0,0,232000
0,0,0,221500
0,2,2,110500
0,0,0,279500
0,3,3,188500
1,0,4,275000
0,2,2,125000
0,3,3,140000
1,3,7,190000
0,2,2,140000
1,2,6,325300
0,1,1,98300
0,3,3,201800
0,3,3,151000
1,1,5,378500
0,2,2,108000
0,1,1,136500
0,3,3,227875
0,1,1,132000
1,0,4,286000
0,3,3,165000
0,0,0,196000
0,2,2,164900
0,0,0,192000
1,0,4,251000
0,1,1,147000
0,0,0,265979
0,3,3,173000
0,2,2,139400
0,2,2,52500
0,2,2,110000
1,1,5,186700
0,0,0,201000
0,3,3,145000
0,2,2,125000
0,3,3,192000
0,0,0,227680
1,1,5,394617
1,0,4,266000
1,2,6,538000
0,2,2,100000
0,3,3,226000
0,3,3,200500
0,2,2,118000
1,3,7,160000
0,3,3,164500
0,0,0,119000
0,1,1,142500
0,1,1,167000
0,2,2,100000
0,0,0,278000
0,3,3,176432
0,3,3,135000
0,1,1,115000
0,2,2,189950
0,0,0,174000
